"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 28, 2017","0.20220","0.21010","0.21090","0.19650","15.34M","-3.76%"
"Sep 27, 2017","0.21010","0.18890","0.21560","0.18770","21.35M","11.22%"
"Sep 26, 2017","0.18890","0.18380","0.19430","0.18100","9.69M","2.77%"
"Sep 25, 2017","0.18380","0.17490","0.18690","0.17450","6.87M","5.09%"
"Sep 24, 2017","0.17490","0.17930","0.18000","0.17260","3.93M","-2.45%"
"Sep 23, 2017","0.17930","0.17290","0.18040","0.16990","11.86M","3.70%"
"Sep 22, 2017","0.17290","0.17100","0.17710","0.16600","4.85M","1.11%"
"Sep 21, 2017","0.17100","0.18160","0.18350","0.16860","7.18M","-5.84%"
"Sep 20, 2017","0.18160","0.18460","0.18840","0.18050","5.38M","-1.63%"
"Sep 19, 2017","0.18460","0.19320","0.19430","0.18200","9.35M","-4.45%"
"Sep 18, 2017","0.19320","0.18120","0.19430","0.18080","17.22M","6.62%"
"Sep 17, 2017","0.18120","0.18200","0.18400","0.17110","7.17M","-0.44%"
"Sep 16, 2017","0.18200","0.18420","0.19190","0.17290","15.12M","-1.19%"
"Sep 15, 2017","0.18420","0.17080","0.19240","0.14550","42.23M","7.85%"
"Sep 14, 2017","0.17080","0.19800","0.20000","0.16600","30.05M","-13.74%"
"Sep 13, 2017","0.19800","0.20940","0.20990","0.19020","14.95M","-5.44%"
"Sep 12, 2017","0.20940","0.21390","0.22450","0.20520","17.51M","-2.10%"
"Sep 11, 2017","0.21390","0.21620","0.22150","0.20860","15.09M","-1.06%"
"Sep 10, 2017","0.21620","0.21240","0.22400","0.19750","16.61M","1.79%"
"Sep 09, 2017","0.21240","0.21170","0.21440","0.20670","8.70M","0.33%"
"Sep 08, 2017","0.21170","0.22650","0.22900","0.19650","21.63M","-6.53%"
"Sep 07, 2017","0.22650","0.23100","0.23170","0.21970","12.49M","-1.95%"
"Sep 06, 2017","0.23100","0.21500","0.23280","0.21390","19.74M","7.44%"
"Sep 05, 2017","0.21500","0.20250","0.22000","0.18810","27.24M","6.17%"
"Sep 04, 2017","0.20250","0.23000","0.23040","0.18500","36.81M","-11.96%"
"Sep 03, 2017","0.23000","0.22350","0.23820","0.21500","19.11M","2.91%"
"Sep 02, 2017","0.22350","0.25370","0.25380","0.21350","40.90M","-11.90%"
"Sep 01, 2017","0.25370","0.25880","0.26000","0.24340","28.62M","-1.97%"
"Aug 31, 2017","0.25880","0.23160","0.26500","0.22720","28.80M","11.74%"
"Aug 30, 2017","0.23160","0.21950","0.23310","0.21670","15.15M","5.51%"
"Aug 29, 2017","0.21950","0.22530","0.22600","0.21200","23.63M","-2.57%"
"Aug 28, 2017","0.22530","0.20160","0.24610","0.19410","53.16M","11.76%"
"Aug 27, 2017","0.20160","0.20950","0.21030","0.19250","20.64M","-3.77%"
"Aug 26, 2017","0.20950","0.21590","0.23100","0.20600","16.76M","-2.96%"
"Aug 25, 2017","0.21590","0.21710","0.23100","0.20270","36.12M","-0.55%"
"Aug 24, 2017","0.21710","0.24600","0.28690","0.21000","74.21M","-11.75%"
"Aug 23, 2017","0.24600","0.24200","0.29950","0.21550","102.07M","1.65%"
"Aug 22, 2017","0.24200","0.19500","0.25900","0.17110","91.20M","24.10%"
"Aug 21, 2017","0.19500","0.15910","0.20650","0.15110","54.92M","22.56%"
"Aug 20, 2017","0.15910","0.15250","0.16170","0.14930","12.01M","4.33%"
"Aug 19, 2017","0.15250","0.15700","0.16200","0.14800","14.31M","-2.87%"
"Aug 18, 2017","0.15700","0.15800","0.17000","0.15100","19.65M","-0.63%"
"Aug 17, 2017","0.15800","0.16080","0.16100","0.15300","11.83M","-1.74%"
"Aug 16, 2017","0.16080","0.15800","0.16080","0.14860","16.04M","1.77%"
"Aug 15, 2017","0.15800","0.16770","0.16770","0.15210","18.86M","-5.78%"
"Aug 14, 2017","0.16770","0.16610","0.18010","0.16500","10.23M","0.96%"
"Aug 13, 2017","0.16610","0.17190","0.17190","0.15850","20.08M","-3.37%"
"Aug 12, 2017","0.17190","0.17750","0.18280","0.17040","13.18M","-3.15%"
"Aug 11, 2017","0.17750","0.18080","0.18340","0.17530","10.87M","-1.83%"
"Aug 10, 2017","0.18080","0.18340","0.18500","0.17700","11.26M","-1.42%"
"Aug 09, 2017","0.18340","0.19590","0.19590","0.18000","13.38M","-6.38%"
"Aug 08, 2017","0.19590","0.17900","0.20000","0.17680","31.91M","9.44%"
"Aug 07, 2017","0.17900","0.18030","0.18300","0.17630","10.48M","-0.72%"
"Aug 06, 2017","0.18030","0.18400","0.18980","0.17650","12.15M","-2.01%"
"Aug 05, 2017","0.18400","0.17360","0.19200","0.17100","20.38M","5.99%"
"Aug 04, 2017","0.17360","0.17460","0.17800","0.17100","7.21M","-0.57%"
"Aug 03, 2017","0.17460","0.17040","0.17720","0.16880","4.59M","2.46%"
"Aug 02, 2017","0.17040","0.17860","0.18000","0.16800","11.47M","-4.59%"
"Aug 01, 2017","0.17860","0.16300","0.18500","0.15850","26.82M","9.57%"
"Jul 31, 2017","0.16300","0.16360","0.16840","0.15780","9.14M","-0.37%"
"Jul 30, 2017","0.16360","0.17060","0.17250","0.16060","4.86M","-4.10%"
"Jul 29, 2017","0.17060","0.16260","0.17100","0.15420","8.50M","4.92%"
"Jul 28, 2017","0.16260","0.17260","0.17440","0.15670","12.41M","-5.79%"
"Jul 27, 2017","0.17260","0.17260","0.17600","0.16810","7.50M","0.00%"
"Jul 26, 2017","0.17260","0.17450","0.17990","0.16380","12.77M","-1.09%"
"Jul 25, 2017","0.17450","0.19250","0.19330","0.16600","21.02M","-9.35%"
"Jul 24, 2017","0.19250","0.19680","0.20010","0.18980","9.72M","-2.18%"
"Jul 23, 2017","0.19680","0.19790","0.20800","0.18610","24.59M","-0.56%"
"Jul 22, 2017","0.19790","0.18360","0.20450","0.18100","22.34M","7.79%"
"Jul 21, 2017","0.18360","0.19100","0.19350","0.18100","17.59M","-3.87%"
"Jul 20, 2017","0.19100","0.16150","0.19500","0.16150","28.82M","18.27%"
"Jul 19, 2017","0.16150","0.17710","0.18490","0.15790","21.26M","-8.81%"
"Jul 18, 2017","0.17710","0.17280","0.18700","0.15990","26.89M","2.49%"
"Jul 17, 2017","0.17280","0.14680","0.17290","0.14170","33.99M","17.71%"
"Jul 16, 2017","0.14680","0.17240","0.17480","0.12800","40.60M","-14.85%"
"Jul 15, 2017","0.17240","0.18250","0.18410","0.17170","12.05M","-5.53%"
"Jul 14, 2017","0.18250","0.18880","0.19150","0.17200","8.68M","-3.34%"
"Jul 13, 2017","0.18880","0.19590","0.21630","0.17880","14.36M","-3.62%"
"Jul 12, 2017","0.19590","0.17530","0.19590","0.16100","17.84M","11.75%"
"Jul 11, 2017","0.17530","0.18390","0.19630","0.14040","33.15M","-4.68%"
